TransactionID,OrderDate,DeliveryDate,SupplierName,SupplierCategory,Department,ItemDescription,Quantity,UnitPrice,TotalPrice,ContractReference,SavingsIdentified,SavingsRealized,PaymentTermsDays
TRX00041,24/08/2024,12/09/2024,"White, Smith and Walker",Office Equipment,Finance,Fight Service/Product,4,£515.00,"£2,060.00",CON9820,131.51,124.64,60
TRX00042,30/10/2024,19/11/2024,"Matthews, Gibson and Torres",Office Equipment,Patient Care,Attorney Service/Product,2,£116.91,£233.82,CON1141,43.28,35.86,60
TRX00043,04/11/2024,23/11/2024,Peters and Sons,Consulting,Finance,Goal Service/Product,8,£937.32,"£7,498.56",CON4535,0,0,90
TRX00044,24/12/2024,31/12/2024,Miles Ltd,Medical Supplies,Patient Care,Hope Service/Product,1,£316.20,£316.20,CON6040,0,0,30
TRX00045,08/04/2024,11/04/2024,Jordan Group,Consulting,Operations,Several Service/Product,3,£969.23,"£2,907.69",,241.27,123.35,90
TRX00046,27/08/2023,11/09/2023,"Cummings, Jackson and Davenport",Consulting,HR,Police Service/Product,1,£366.92,£366.92,CON8999,0,0,30
TRX00047,10/04/2024,05/05/2024,Newton Group,Medical Supplies,Operations,Purpose Service/Product,3,£86.13,£258.39,CON1842,0,0,60
TRX00048,20/08/2023,03/09/2023,Mullen Inc,Consulting,Operations,Must Service/Product,7,£885.61,"£6,199.27",CON5979,0,0,60
TRX00049,07/04/2024,19/04/2024,Summers-Prince,Consulting,Admin,At Service/Product,9,£423.92,"£3,815.28",CON5092,359.66,317.12,90
TRX00050,30/09/2024,09/10/2024,Smith LLC,Consulting,IT,Drive Service/Product,6,£288.53,"£1,731.18",,0,0,90
TRX00051,29/05/2024,12/06/2024,"Mann, Wilson and Little",IT Services,Operations,Bar Service/Product,10,£802.99,"£8,029.90",CON7278,0,0,60
TRX00052,20/12/2024,25/12/2024,Miller-Miller,Office Equipment,IT,Store Service/Product,3,£179.37,£538.11,CON3455,0,0,60
TRX00053,29/08/2023,08/09/2023,Weber-Williams,Medical Supplies,Finance,By Service/Product,3,£961.65,"£2,884.95",CON1833,0,0,90
TRX00054,05/12/2024,26/12/2024,Klein Group,IT Services,HR,Small Service/Product,10,£81.61,£816.10,CON9900,0,0,30
TRX00055,17/03/2025,02/04/2025,Haas Group,IT Services,Operations,Quickly Service/Product,2,£735.77,"£1,471.54",CON2339,229.01,27.56,60
TRX00056,24/11/2023,28/11/2023,Walker Group,Medical Supplies,IT,Step Service/Product,10,£792.30,"£7,923.00",CON2136,0,0,90
TRX00057,22/09/2023,29/09/2023,Robinson PLC,Medical Supplies,Operations,Keep Service/Product,7,£147.84,"£1,034.88",CON1285,0,0,90
TRX00058,29/05/2024,01/06/2024,"Guzman, Gregory and Miller",Logistics,Operations,Page Service/Product,9,£159.81,"£1,438.29",CON2542,0,0,60
TRX00059,09/04/2025,29/04/2025,Cole Group,IT Services,Admin,Money Service/Product,6,£370.29,"£2,221.74",CON9675,0,0,90
TRX00060,12/01/2025,27/01/2025,Lopez and Sons,IT Services,Finance,Thousand Service/Product,1,£60.21,£60.21,CON1061,0,0,30
TRX00061,17/06/2024,09/07/2024,"Thomas, Martinez and Medina",Logistics,IT,Director Service/Product,9,£647.09,"£5,823.81",CON7834,521.72,507.52,90
TRX00062,01/12/2023,24/12/2023,Mcintyre LLC,Logistics,HR,Church Service/Product,3,£549.99,"£1,649.97",CON8597,0,0,60
TRX00063,09/09/2024,02/10/2024,Leonard PLC,Consulting,IT,Task Service/Product,1,£751.11,£751.11,,0,0,90
TRX00064,09/06/2024,28/06/2024,Cooper Group,Logistics,Patient Care,Whatever Service/Product,6,£911.87,"£5,471.22",CON8353,0,0,30
TRX00065,19/01/2024,03/02/2024,"Johnson, Baker and Holmes",Logistics,IT,Measure Service/Product,9,£917.22,"£8,254.98",,0,0,30
TRX00066,30/03/2025,22/04/2025,Rivera-Rose,Facilities Maintenance,HR,Much Service/Product,6,£720.44,"£4,322.64",CON4127,0,0,90
TRX00067,14/02/2024,27/02/2024,Russell-Evans,IT Services,IT,Special Service/Product,2,£649.16,"£1,298.32",CON1928,0,0,30
TRX00068,13/08/2024,19/08/2024,"Thomas, Clark and Bush",Facilities Maintenance,Patient Care,Education Service/Product,5,£270.27,"£1,351.35",,72.42,72.33,30
TRX00069,02/11/2024,02/12/2024,"Woods, Wagner and Ward",Medical Supplies,IT,Charge Service/Product,2,£850.83,"£1,701.66",CON4336,0,0,30
TRX00070,04/04/2024,12/04/2024,Harris PLC,Medical Supplies,Patient Care,Nor Service/Product,4,£81.15,£324.60,,22.84,3.95,30
TRX00071,07/08/2024,11/08/2024,Robles-Buchanan,Logistics,Admin,Others Service/Product,10,£919.94,"£9,199.40",CON6377,505.96,493.33,30
TRX00072,04/03/2024,07/03/2024,Hawkins PLC,Consulting,Operations,Professor Service/Product,6,£722.11,"£4,332.66",CON2796,0,0,90
TRX00073,20/12/2024,30/12/2024,"Richardson, Mcdowell and Rice",Medical Supplies,Finance,Establish Service/Product,5,£365.76,"£1,828.80",CON7020,0,0,90
TRX00074,22/12/2024,07/01/2025,Peterson Inc,Consulting,Finance,Attorney Service/Product,6,£380.85,"£2,285.10",,0,0,60
TRX00075,16/12/2024,11/01/2025,Harvey LLC,Consulting,IT,Policy Service/Product,3,£317.37,£952.11,,0,0,60
TRX00076,27/12/2023,15/01/2024,Barnes Inc,Facilities Maintenance,HR,Pull Service/Product,8,£183.88,"£1,471.04",,0,0,60
TRX00077,09/02/2025,12/02/2025,"Moran, Martin and Harrison",Office Equipment,Admin,Career Service/Product,1,£901.91,£901.91,CON3179,0,0,30
TRX00078,27/10/2023,19/11/2023,Edwards Ltd,Facilities Maintenance,Admin,Middle Service/Product,1,£516.05,£516.05,,0,0,60
TRX00079,04/02/2025,06/03/2025,"Lopez, Moran and Christensen",Consulting,Finance,Model Service/Product,2,£15.97,£31.94,CON8434,0,0,90
TRX00080,13/02/2025,09/03/2025,Williamson Inc,IT Services,IT,Show Service/Product,1,£20.12,£20.12,CON8347,0,0,90
TRX00081,11/10/2024,10/11/2024,Warren Inc,IT Services,Patient Care,Sign Service/Product,6,£266.55,"£1,599.30",,0,0,60
TRX00082,05/06/2025,29/06/2025,"Garcia, Lewis and Graves",Office Equipment,Patient Care,New Service/Product,6,£520.98,"£3,125.88",CON8581,247.39,58.16,60
TRX00083,24/10/2024,22/11/2024,Williams Ltd,Logistics,HR,Series Service/Product,9,£586.34,"£5,277.06",CON7365,0,0,90
TRX00084,05/09/2024,13/09/2024,Valencia-Potter,IT Services,Patient Care,Though Service/Product,9,£222.47,"£2,002.23",,279.29,34.7,60
TRX00085,18/06/2024,29/06/2024,Hartman-Jackson,Medical Supplies,Patient Care,Degree Service/Product,3,£722.83,"£2,168.49",,0,0,90
TRX00086,01/08/2023,16/08/2023,Brown LLC,Facilities Maintenance,Admin,Head Service/Product,3,£239.64,£718.92,CON7623,87.05,74.05,90
TRX00087,31/03/2025,29/04/2025,Garcia Inc,Facilities Maintenance,Finance,Service Service/Product,2,£182.42,£364.84,CON9455,0,0,60
TRX00088,24/07/2024,07/08/2024,Simmons and Sons,IT Services,IT,Job Service/Product,7,£613.73,"£4,296.11",,0,0,30
TRX00089,18/12/2024,12/01/2025,Adams and Sons,Medical Supplies,Operations,Important Service/Product,1,£49.84,£49.84,CON2188,6.92,3.48,60
TRX00090,03/02/2025,28/02/2025,"Williams, Moss and Montgomery",Office Equipment,Operations,Condition Service/Product,4,£878.36,"£3,513.44",CON6785,472.65,125.74,60
TRX00091,12/12/2024,24/12/2024,"Mitchell, Hoffman and Beck",Facilities Maintenance,Patient Care,Hit Service/Product,7,£526.30,"£3,684.10",,0,0,90
TRX00092,04/06/2024,25/06/2024,"Monroe, Mitchell and Hanson",Office Equipment,Patient Care,Recent Service/Product,4,£533.31,"£2,133.24",,209.22,50,60
TRX00093,15/10/2023,20/10/2023,Spencer-Mclaughlin,Medical Supplies,Operations,Exactly Service/Product,6,£240.15,"£1,440.90",,0,0,30
TRX00094,01/03/2024,22/03/2024,Stanley-Bennett,Logistics,Patient Care,Develop Service/Product,10,£421.96,"£4,219.60",CON3640,0,0,60
TRX00095,23/07/2023,12/08/2023,Ford Ltd,Office Equipment,Patient Care,Threat Service/Product,3,£607.39,"£1,822.17",CON7735,0,0,60
TRX00096,13/05/2024,23/05/2024,Stark Ltd,Office Equipment,Patient Care,Would Service/Product,3,£628.78,"£1,886.34",CON9415,0,0,90
TRX00097,30/07/2023,06/08/2023,Ellis LLC,Office Equipment,HR,News Service/Product,3,£434.98,"£1,304.94",CON9308,0,0,60
TRX00098,22/05/2025,31/05/2025,Rodriguez Ltd,Facilities Maintenance,Patient Care,Send Service/Product,9,£797.42,"£7,176.78",CON2156,1132.13,365.8,60
TRX00099,06/03/2025,09/03/2025,Carter PLC,IT Services,Finance,Choose Service/Product,1,£596.38,£596.38,CON2530,0,0,30
TRX00100,28/11/2023,16/12/2023,Stephenson-Hull,Consulting,HR,Nothing Service/Product,10,£215.92,"£2,159.20",CON4789,0,0,60
TRX00101,15/11/2023,13/12/2023,"Pineda, Reid and Jackson",Consulting,Operations,Cut Service/Product,8,£785.99,"£6,287.92",,0,0,90
TRX00102,10/10/2024,21/10/2024,"Larson, Campbell and Robinson",IT Services,IT,Total Service/Product,4,£625.58,"£2,502.32",CON3953,0,0,60
TRX00103,07/08/2024,19/08/2024,"Hopkins, Cox and Curry",Facilities Maintenance,Operations,Positive Service/Product,10,£127.25,"£1,272.50",CON5112,0,0,30
TRX00104,26/05/2024,01/06/2024,Conway PLC,IT Services,Operations,Box Service/Product,2,£325.37,£650.74,CON7173,0,0,60
TRX00105,19/06/2024,18/07/2024,Harrington-Hooper,IT Services,Operations,Success Service/Product,7,£565.39,"£3,957.73",CON4609,0,0,90
TRX00106,25/04/2025,09/05/2025,Torres-Hudson,Consulting,Operations,Hundred Service/Product,5,£287.92,"£1,439.60",CON8552,0,0,90
TRX00107,01/05/2024,11/05/2024,Singh PLC,Facilities Maintenance,HR,Fund Service/Product,10,£830.02,"£8,300.20",CON8928,0,0,30
TRX00108,04/10/2024,25/10/2024,"Flowers, Dickerson and Lyons",IT Services,IT,Floor Service/Product,9,£78.99,£710.91,CON1411,0,0,90
TRX00109,01/06/2024,12/06/2024,"Lara, Schmidt and Morgan",Consulting,Operations,Dream Service/Product,3,£868.06,"£2,604.18",CON9550,0,0,30
TRX00110,04/01/2025,25/01/2025,"Olsen, Green and Pennington",IT Services,IT,Whole Service/Product,1,£673.98,£673.98,CON1203,0,0,90
TRX00111,29/03/2025,23/04/2025,Gonzalez-Johnson,Consulting,Patient Care,Watch Service/Product,8,£323.70,"£2,589.60",,0,0,30
TRX00112,19/08/2023,25/08/2023,"Carson, Williams and Burgess",Medical Supplies,Patient Care,Each Service/Product,2,£181.53,£363.06,,0,0,30
TRX00113,31/12/2024,17/01/2025,Kim-Matthews,Office Equipment,Finance,Modern Service/Product,5,£109.77,£548.85,CON2721,73.05,60.79,30
TRX00114,05/05/2024,25/05/2024,Roy and Sons,Facilities Maintenance,Patient Care,Picture Service/Product,3,£753.24,"£2,259.72",CON2159,0,0,90
TRX00115,14/02/2024,17/02/2024,Davis-Brown,Consulting,Patient Care,Face Service/Product,7,£499.12,"£3,493.84",CON9990,0,0,90
TRX00116,03/04/2025,30/04/2025,Jimenez-Robinson,Medical Supplies,Operations,Something Service/Product,3,£881.97,"£2,645.91",,0,0,90
TRX00117,16/04/2024,08/05/2024,Moore-Parks,Logistics,IT,Eight Service/Product,4,£192.30,£769.20,CON5480,39.01,22.36,60
TRX00118,29/10/2024,02/11/2024,"Holland, Rodriguez and Wallace",Logistics,Operations,Detail Service/Product,6,£608.60,"£3,651.60",CON6869,242.83,150.19,90
TRX00119,21/02/2025,10/03/2025,Lynn-Tucker,Consulting,Patient Care,Discussion Service/Product,1,£916.71,£916.71,,0,0,30
TRX00120,10/10/2023,31/10/2023,"Adkins, Leach and Perez",Consulting,Operations,Use Service/Product,5,£109.17,£545.85,CON7485,0,0,90
TRX00121,23/09/2023,11/10/2023,"Clements, Randall and Ramirez",Consulting,Admin,Later Service/Product,3,£988.77,"£2,966.31",CON9333,399.15,233.65,30
TRX00122,13/07/2024,29/07/2024,Summers PLC,Consulting,IT,Fear Service/Product,1,£222.19,£222.19,CON3283,0,0,60
TRX00123,15/10/2023,03/11/2023,Powers Inc,Consulting,Finance,Happy Service/Product,6,£722.45,"£4,334.70",,491.37,304.05,60
TRX00124,02/01/2025,22/01/2025,"Rodriguez, Cooper and Bush",Facilities Maintenance,Operations,Writer Service/Product,4,£113.89,£455.56,CON9267,0,0,60
TRX00125,15/05/2025,25/05/2025,Mayer-Buchanan,Logistics,Finance,Onto Service/Product,7,£839.70,"£5,877.90",,0,0,90
TRX00126,30/12/2023,10/01/2024,Rich-Martinez,IT Services,Finance,Step Service/Product,1,£568.14,£568.14,CON5905,0,0,30
TRX00127,09/10/2023,28/10/2023,"Raymond, Rodriguez and Gilbert",Medical Supplies,Patient Care,Wear Service/Product,5,£227.18,"£1,135.90",,0,0,30
TRX00128,24/03/2025,28/03/2025,"Jensen, Brown and Lynch",IT Services,IT,Section Service/Product,1,£303.48,£303.48,CON8274,56.97,56.54,30
TRX00129,10/10/2024,04/11/2024,Benson-Torres,Consulting,Operations,Church Service/Product,10,£578.89,"£5,788.90",CON1301,0,0,90
TRX00130,02/11/2023,29/11/2023,Newman-Chavez,Office Equipment,Admin,Service Service/Product,8,£94.38,£755.04,CON2890,0,0,30
TRX00131,05/06/2025,02/07/2025,"Mcpherson, Mullen and Flowers",IT Services,IT,Player Service/Product,2,£613.40,"£1,226.80",CON8805,77.1,67.75,30
TRX00132,08/01/2025,28/01/2025,Hernandez and Sons,Facilities Maintenance,Operations,Room Service/Product,10,£67.44,£674.40,CON4288,0,0,30
TRX00133,09/04/2024,17/04/2024,Kline-Mcgrath,IT Services,IT,Put Service/Product,3,£838.93,"£2,516.79",,0,0,90
TRX00134,04/08/2023,09/08/2023,Martin-Allen,Office Equipment,Operations,Ten Service/Product,4,£379.63,"£1,518.52",CON9791,0,0,30
TRX00135,21/01/2024,10/02/2024,Chase-Gregory,IT Services,HR,Medical Service/Product,9,£547.12,"£4,924.08",,0,0,30
TRX00136,10/02/2025,15/02/2025,Riley Ltd,Logistics,Admin,Energy Service/Product,2,£808.37,"£1,616.74",CON6862,226.9,60.27,30
TRX00137,14/02/2024,07/03/2024,Ford Inc,IT Services,IT,Most Service/Product,1,£998.42,£998.42,CON2267,0,0,30
TRX00138,30/10/2024,14/11/2024,Richardson-Mckenzie,Consulting,Patient Care,Popular Service/Product,6,£690.37,"£4,142.22",CON4877,0,0,90
TRX00139,19/03/2025,12/04/2025,Williams-Bradford,Logistics,IT,Medical Service/Product,7,£707.99,"£4,955.93",,0,0,30
TRX00140,25/09/2023,22/10/2023,"Hicks, Dalton and Boone",Office Equipment,Admin,Herself Service/Product,9,£50.99,£458.91,CON6506,0,0,90
TRX00141,06/05/2024,05/06/2024,Nichols LLC,Medical Supplies,IT,Already Service/Product,5,£996.82,"£4,984.10",,544.68,272.56,60
TRX00142,20/12/2024,05/01/2025,"Adams, Hayes and Rojas",Facilities Maintenance,HR,Truth Service/Product,3,£573.67,"£1,721.01",CON6813,0,0,30
TRX00143,02/04/2024,06/04/2024,"Thomas, Olson and Wright",Logistics,IT,Later Service/Product,3,£469.79,"£1,409.37",CON5052,203.8,178.6,30
TRX00144,09/12/2023,16/12/2023,Castillo-Hurst,Logistics,Operations,Serve Service/Product,6,£90.04,£540.24,CON2317,0,0,60
TRX00145,31/01/2025,22/02/2025,Miller-Rodriguez,Consulting,Finance,Reality Service/Product,9,£319.57,"£2,876.13",CON5247,0,0,90
TRX00146,24/11/2024,24/12/2024,Moore-Moyer,Medical Supplies,IT,Impact Service/Product,5,£214.26,"£1,071.30",CON2557,0,0,60
TRX00147,21/03/2024,29/03/2024,"Mitchell, Davis and Lopez",Medical Supplies,HR,Establish Service/Product,7,£507.63,"£3,553.41",CON6037,0,0,30
TRX00148,28/10/2023,11/11/2023,Mahoney Inc,IT Services,Patient Care,Exactly Service/Product,4,£817.97,"£3,271.88",CON7282,0,0,60
TRX00149,18/04/2024,03/05/2024,Perez Inc,Logistics,IT,Meeting Service/Product,1,£477.73,£477.73,,0,0,30
TRX00150,11/08/2023,19/08/2023,Calderon-Watts,Consulting,Admin,Task Service/Product,10,£430.06,"£4,300.60",,0,0,30
TRX00151,17/05/2025,04/06/2025,"Hinton, Barker and Ellison",Office Equipment,HR,Best Service/Product,6,£146.61,£879.66,CON3477,0,0,30
TRX00152,12/07/2025,24/07/2025,Ellis Group,Facilities Maintenance,Patient Care,Teach Service/Product,2,£755.41,"£1,510.82",CON3423,258.22,77.94,90
TRX00153,21/11/2024,12/12/2024,Brown Ltd,Medical Supplies,IT,Level Service/Product,1,£193.08,£193.08,CON3274,0,0,90
TRX00154,24/03/2025,28/03/2025,Petersen-Brown,Consulting,Operations,Green Service/Product,10,£92.01,£920.10,CON3641,0,0,30
TRX00155,09/02/2024,21/02/2024,George PLC,Facilities Maintenance,Admin,Wide Service/Product,7,£648.28,"£4,537.96",,0,0,90
TRX00156,19/04/2025,14/05/2025,"Williams, Martinez and Guzman",Medical Supplies,Admin,Space Service/Product,1,£822.34,£822.34,,0,0,60
TRX00157,28/05/2025,04/06/2025,"May, Williams and Ross",Office Equipment,Patient Care,Manager Service/Product,4,£168.05,£672.20,CON7932,78.84,28.28,60
TRX00158,20/08/2024,27/08/2024,"Snyder, Rice and Lee",Logistics,Operations,During Service/Product,6,£970.57,"£5,823.42",CON6418,0,0,60
TRX00159,08/05/2025,16/05/2025,"Carter, Williams and Fowler",Consulting,IT,Pm Service/Product,3,£710.94,"£2,132.82",,398.98,59.4,30
TRX00160,01/10/2024,22/10/2024,"Robinson, Caldwell and Love",Facilities Maintenance,Patient Care,Day Service/Product,2,£809.38,"£1,618.76",CON9939,0,0,60
TRX00161,04/11/2023,14/11/2023,Carter Inc,Consulting,Operations,Daughter Service/Product,1,£864.44,£864.44,CON3564,130.77,63.7,30
TRX00162,13/05/2024,23/05/2024,Johnson-Manning,Facilities Maintenance,Patient Care,Class Service/Product,10,£657.69,"£6,576.90",,0,0,60
TRX00163,26/06/2024,17/07/2024,Cohen and Sons,Consulting,IT,Beat Service/Product,8,£328.39,"£2,627.12",CON8649,0,0,30
TRX00164,24/08/2024,10/09/2024,Morales-Harrison,Logistics,Operations,Science Service/Product,9,£98.50,£886.50,CON5948,0,0,30
TRX00165,14/11/2023,19/11/2023,"Wilkinson, Rivera and Benjamin",Facilities Maintenance,HR,Include Service/Product,7,£475.50,"£3,328.50",CON4570,0,0,30
TRX00166,12/02/2025,21/02/2025,Mcbride-Rodriguez,Logistics,IT,Color Service/Product,7,£535.13,"£3,745.91",,0,0,30
TRX00167,16/04/2024,27/04/2024,"Perez, Edwards and Miller",Consulting,IT,Away Service/Product,2,£378.05,£756.10,CON8336,136.85,100.52,30
TRX00168,04/07/2025,22/07/2025,Burton Ltd,IT Services,Patient Care,Blue Service/Product,9,£892.15,"£8,029.35",CON5168,0,0,30
TRX00169,21/04/2024,08/05/2024,"Taylor, Clark and Caldwell",Consulting,Admin,Message Service/Product,8,£118.72,£949.76,,0,0,30
TRX00170,11/09/2023,16/09/2023,Vance-Cox,IT Services,Operations,All Service/Product,4,£725.36,"£2,901.44",CON3982,0,0,60
TRX00171,02/01/2025,18/01/2025,Gonzalez LLC,Facilities Maintenance,Finance,Office Service/Product,1,£844.08,£844.08,CON3019,0,0,60
TRX00172,08/08/2024,13/08/2024,Hernandez Inc,Consulting,IT,Marriage Service/Product,2,£395.12,£790.24,CON8918,0,0,60
TRX00173,06/11/2024,18/11/2024,"Smith, Ray and Castillo",Medical Supplies,Finance,Successful Service/Product,9,£534.70,"£4,812.30",CON1460,0,0,30
TRX00174,04/08/2024,31/08/2024,"Schultz, Rich and Guerrero",IT Services,HR,Newspaper Service/Product,6,£962.12,"£5,772.72",CON1561,0,0,90
TRX00175,28/12/2023,22/01/2024,Johnson Ltd,IT Services,HR,Forward Service/Product,9,£360.81,"£3,247.29",,0,0,60
TRX00176,02/03/2025,13/03/2025,Hall-Williams,IT Services,IT,Along Service/Product,1,£919.26,£919.26,,0,0,90
TRX00177,22/06/2025,29/06/2025,"Adkins, Garza and Andrews",Office Equipment,Patient Care,Six Service/Product,5,£683.93,"£3,419.65",CON6129,0,0,90
TRX00178,25/05/2024,06/06/2024,Yang-Ramsey,Office Equipment,HR,Win Service/Product,3,£830.88,"£2,492.64",,455,226.51,60
TRX00179,31/08/2024,19/09/2024,Harrison PLC,IT Services,Patient Care,Control Service/Product,8,£745.54,"£5,964.32",CON1466,0,0,90
TRX00180,29/06/2025,05/07/2025,Knox-Klein,Office Equipment,Finance,Administration Service/Product,3,£934.26,"£2,802.78",CON9496,0,0,60
TRX00181,30/12/2024,15/01/2025,Nelson Ltd,Office Equipment,HR,Modern Service/Product,4,£330.23,"£1,320.92",,0,0,60
TRX00182,28/01/2024,19/02/2024,Austin LLC,Medical Supplies,Operations,Above Service/Product,2,£241.04,£482.08,CON9821,0,0,90
TRX00183,29/09/2023,12/10/2023,Villarreal Group,Logistics,Admin,Down Service/Product,4,£570.89,"£2,283.56",CON2916,0,0,30
TRX00184,02/11/2024,08/11/2024,Smith Group,Office Equipment,Operations,College Service/Product,3,£953.98,"£2,861.94",CON8350,0,0,90
TRX00185,21/02/2025,07/03/2025,"Farmer, Pearson and Jones",Consulting,HR,Number Service/Product,7,£767.49,"£5,372.43",,798.18,242.99,30
